,Property_details,Area,Price,Area Type,Number of Sq ft
399,"3 BHK Independent House for Sale in Nehru Nagar, Coimbatore",700 sqft,₹2.75 Cr ,Carpet Area,700 sqft
400,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",2200 sqft,₹1.35 Cr ,Carpet Area,2200 sqft
401,"6 BHK Independent House for Sale in R S Puram, Coimbatore",3240 sqft,₹2.50 Cr ,Super Area,3240 sqft
402,"6 BHK Independent House for Sale in Pattanam, Coimbatore",2592 sqft,₹82 Lac ,Carpet Area,2592 sqft
403,"2 BHK Independent House for Sale in Podunur, Coimbatore",1750 sqft,₹62 Lac ,Super Area,1750 sqft
404,"2 BHK Independent House for Sale in Kuniyamuthur, Coimbatore",1850 sqft,₹43 Lac ,Carpet Area,1850 sqft
405,"2 BHK Independent House for Sale in Vadamadurai, Coimbatore",650 sqft,₹30 Lac ,Super Area,650 sqft
406,"2 BHK Independent House for Sale in Athipalayam, Coimbatore",1170 sqft,₹47 Lac ,Super Area,1170 sqft
407,3 BHK Independent House for Sale in Coimbatore,1600 sqft,₹55 Lac ,Carpet Area,1600 sqft
408,"2 BHK Independent House for Sale in Pattanam, Coimbatore",1000 sqft,₹48 Lac ,Carpet Area,1000 sqft
409,"6 BHK Independent House for Sale in R S Puram, Coimbatore",1800 sqft,₹1.25 Cr ,Super Area,1800 sqft
410,"3 BHK Independent House for Sale in Singanallur, Coimbatore",Ground out of 1,₹96 Lac ,Floor,Ground out of 1
411,"3 BHK Independent House for Sale in Sulur, Coimbatore",1000 sqft,₹47.5 Lac ,Carpet Area,1000 sqft
412,"2 BHK Independent House for Sale in Idigarai, Coimbatore",980 sqft,₹45 Lac ,Carpet Area,980 sqft
413,"2 BHK Independent House for Sale in Town hall, Coimbatore",900 sqft,₹60 Lac ,Super Area,900 sqft
414,"3 BHK Independent House for Sale in Nallampalayam, Coimbatore",2650 sqft,₹1.40 Cr ,Carpet Area,2650 sqft
415,"3 BHK Independent House for Sale in Neelambur, Coimbatore",1000 sqft,₹35 Lac ,Super Area,1000 sqft
416,6 BHK Independent House for Sale in Coimbatore,1600 sqft,₹1.40 Cr ,Super Area,1600 sqft
417,"3 BHK Independent House for Sale in Kanuvai, Coimbatore",3100 sqft,₹1.50 Cr ,Super Area,3100 sqft
418,"4 BHK Independent House for Sale in Saibaba Colony, Coimbatore",3500 sqft,₹6 Cr ,Carpet Area,3500 sqft
419,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",5227 sqft,₹2 Cr ,Carpet Area,5227 sqft
420,"4 BHK Independent House for Sale in Kovai Pudur, Coimbatore",2500 sqft,₹95 Lac ,Carpet Area,2500 sqft
421,"2 BHK Independent House for Sale in NGGO Colony, Coimbatore",850 sqft,₹55 Lac ,Carpet Area,850 sqft
422,"2 BHK Independent House for Sale in Town hall, Coimbatore",462 sqft,₹40 Lac ,Carpet Area,462 sqft
423,"4 BHK Independent House for Sale in Vadamadurai, Coimbatore",1750 sqft,₹99 Lac ,Carpet Area,1750 sqft
424,"2 BHK Independent House for Sale in Pannimadai, Coimbatore",1105 sqft,₹45 Lac ,Super Area,1105 sqft
425,"1 BHK Independent House for Sale in Dhanalakshmi Puram, Coimbatore",500 sqft,₹11 Lac ,Carpet Area,500 sqft
426,"1 BHK Independent House for Sale in Kovilpalayam, Coimbatore",816 sqft,₹27 Lac ,Carpet Area,816 sqft
427,"3 BHK Independent House for Sale in Keeranatham, Coimbatore",1850 sqft,₹72 Lac ,Super Area,1850 sqft
428,"6 BHK Independent House for Sale in KRG Nagar, Coimbatore",1700 sqft,₹1.50 Cr ,Super Area,1700 sqft
429,"2 BHK Independent House for Sale in pollachi, Coimbatore",669 sqft,₹33 Lac ,Super Area,669 sqft
430,"5 BHK Independent House for Sale in pollachi, Coimbatore",3600 sqft,₹95 Lac ,Super Area,3600 sqft
431,"3 BHK Independent House for Sale in Vadamadurai, Coimbatore",1200 sqft,₹41.9 Lac ,Carpet Area,1200 sqft
432,"3 BHK Independent House for Sale in Ganapathy, Coimbatore",1600 sqft,₹2.50 Cr ,Super Area,1600 sqft
433,"2 BHK Independent House for Sale in Kovilpalayam, Coimbatore",5 cent,₹50 Lac ,Super Area,5 cent
434,"1 BHK Independent House for Sale in Ramanathapuram, Coimbatore",2000 sqft,₹55 Lac ,Carpet Area,2000 sqft
435,"2 BHK Independent House for Sale in Chinnavedampatti, Coimbatore",1200 sqft,₹90 Lac ,Carpet Area,1200 sqft
436,3 BHK Independent House for Sale in Coimbatore,1200 sqft,₹65 Lac ,Carpet Area,1200 sqft
437,"8 BHK Independent House for Sale in New Siddhapudur, Coimbatore",3800 sqft,₹2.40 Cr ,Carpet Area,3800 sqft
438,"3 BHK Independent House for Sale in pollachi, Coimbatore",2200 sqft,₹92 Lac ,Carpet Area,2200 sqft
439,"3 BHK Independent House for Sale in VSK Nagar, Coimbatore",1450 sqft,₹80 Lac ,Carpet Area,1450 sqft
440,"2 BHK Independent House for Sale in Narasimhanaicken Palayam, Coimbatore",921 sqft,₹41 Lac ,Carpet Area,921 sqft
441,"2 BHK Independent House for Sale in Neelambur, Coimbatore",1100 sqft,₹46 Lac ,Super Area,1100 sqft
442,"3 BHK Independent House for Sale in Madukkarai, Coimbatore",1634 sqft,₹92 Lac ,Carpet Area,1634 sqft
443,"1 BHK Independent House for Sale in Saravanampatty, Coimbatore",1000 sqft,₹62 Lac ,Carpet Area,1000 sqft
444,2 BHK Independent House for Sale in Coimbatore,1000 sqft,₹35 Lac ,Super Area,1000 sqft
445,"5 BHK Independent House for Sale in Tata Bad, Coimbatore",1800 sqft,₹2.80 Cr ,Carpet Area,1800 sqft
446,"4 BHK Independent House for Sale in Ganapathy, Coimbatore",5500 sqft,₹1.30 Cr ,Carpet Area,5500 sqft
447,"2 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",1100 sqft,₹56 Lac ,Carpet Area,1100 sqft
448,4 BHK Independent House for Sale in Coimbatore,1196 sqft,₹1 Cr ,Carpet Area,1196 sqft
449,"2 BHK Independent House for Sale in Shanthi Medu, Coimbatore",1500 sqft,₹55 Lac ,Super Area,1500 sqft
450,"4 BHK Independent House for Sale in LIC Colony, Coimbatore",890 sqft,₹49 Lac ,Carpet Area,890 sqft
451,"2 BHK Independent House for Sale in Kunnathur, Coimbatore",1500 sqft,₹50 Lac ,Super Area,1500 sqft
452,"2 BHK Independent House for Sale in Puliakulam, Coimbatore",1200 sqft,₹38 Lac ,Carpet Area,1200 sqft
453,"4 BHK Independent House for Sale in Karamadai, Coimbatore",2800 sqft,₹1.30 Cr ,Carpet Area,2800 sqft
454,"2 BHK Independent House for Sale in Podunur, Coimbatore",5040 sqft,₹1.50 Cr ,Carpet Area,5040 sqft
455,"2 BHK Independent House for Sale in Kurichi, Coimbatore",700 sqft,₹1 Cr ,Carpet Area,700 sqft
456,"2 BHK Independent House for Sale in Velandi Palayam, Coimbatore",1027 sqft,₹1.85 Cr ,Carpet Area,1027 sqft
457,"1 BHK Independent House for Sale in pollachi, Coimbatore",1200 sqft,₹39 Lac ,Carpet Area,1200 sqft
458,"3 BHK Independent House for Sale in Peelamedu, Coimbatore",1500 sqft,₹1.80 Cr ,Carpet Area,1500 sqft
459," House for Sale in Gandhipuram, Coimbatore",1815 sqft,₹2.90 Cr ,Carpet Area,1815 sqft
460,"2 BHK Independent House for Sale in Vadavalli, Coimbatore",1600 sqft,₹70 Lac ,Carpet Area,1600 sqft
461,5 BHK Independent House for Sale in Coimbatore,4000 sqft,₹1.55 Cr ,Super Area,4000 sqft
462,"4 BHK Independent House for Sale in Kalapatti, Coimbatore",1456 sqft,₹63 Lac ,Super Area,1456 sqft
463,"2 BHK Independent House for Sale in Saravanampatti, Coimbatore",1400 sqft,₹35 Lac ,Super Area,1400 sqft
464,"1 BHK Independent House for Sale in Kondayampalayam, Coimbatore",550 sqft,₹23 Lac ,Super Area,550 sqft
465,"2 BHK Independent House for Sale in Thudiyalur, Coimbatore",500 sqft,₹20 Lac ,Carpet Area,500 sqft
466,"2 BHK Independent House for Sale in Karamadai, Coimbatore",1500 sqft,₹3 Cr ,Super Area,1500 sqft
467,2 BHK Independent House for Sale in Coimbatore,500 sqft,₹23 Lac ,Carpet Area,500 sqft
468,"2 BHK Independent House for Sale in Saravanampatty, Coimbatore",1250 sqft,₹33 Lac ,Super Area,1250 sqft
469,"2 BHK Independent House for Sale in Kurumbapalayam, Coimbatore",1011 sqft,₹62 Lac ,Carpet Area,1011 sqft
470,"3 BHK Independent House for Sale in Red Fields, Coimbatore",1100 sqft,₹1.50 Cr ,Super Area,1100 sqft
471,"9 BHK Independent House for Sale in pollachi, Coimbatore",5000 sqft,₹5 Cr ,Carpet Area,5000 sqft
472,"3 BHK Independent House for Sale in R.S. Puram, Coimbatore",1088 sqft,₹80 Lac ,Super Area,1088 sqft
473,"5 BHK Independent House for Sale in Dr Jaganatha Nagar, Coimbatore",3500 sqft,₹2.25 Cr ,Carpet Area,3500 sqft
474,"2 BHK Independent House for Sale in Karamadai, Coimbatore",1200 sqft,₹45 Lac ,Super Area,1200 sqft
475,"2 BHK Independent House for Sale in Vellalore, Coimbatore",900 sqft,₹75 Lac ,Carpet Area,900 sqft
476,"4 BHK Independent House for Sale in Ganesh Lay Out, Coimbatore",2070 sqft,₹1.71 Cr ,Super Area,2070 sqft
477,"3 BHK Independent House for Sale in Velandi Palayam, Coimbatore",2400 sqft,₹60 Lac ,Super Area,2400 sqft
478,"3 BHK Independent House for Sale in Sowripalayam, Coimbatore",1250 sqft,₹1.70 Cr ,Carpet Area,1250 sqft
479,"1 BHK Independent House for Sale in Sulur, Coimbatore",500 sqft,₹21 Lac ,Carpet Area,500 sqft
480,"5 BHK Independent House for Sale in Billichi, Coimbatore",2800 sqft,₹85 Lac ,Carpet Area,2800 sqft
481,"2 BHK Independent House for Sale in Chettipalayam, Coimbatore",3 cent,₹24 Lac ,Super Area,3 cent
482,"2 BHK Independent House for Sale in Karamadai, Coimbatore",1200 sqft,₹42 Lac ,Super Area,1200 sqft
483,"3 BHK Independent House for Sale in Lakshmi nagar, Coimbatore",3 cent,₹90 Lac ,Carpet Area,3 cent
484,"2 BHK Independent House for Sale in Madampatti, Coimbatore",840 sqft,₹38 Lac ,Super Area,840 sqft
485,2 BHK Independent House for Sale in Coimbatore,356 sqft,₹35 Lac ,Super Area,356 sqft
486,"1 BHK Independent House for Sale in Kinathukadavu, Coimbatore",600 sqft,₹25 Lac ,Carpet Area,600 sqft
487,"3 BHK Independent House for Sale in Kuppakonam Pudur, Coimbatore",2500 sqft,₹1.90 Cr ,Super Area,2500 sqft
488,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",2456 sqft,₹2.10 Cr ,Super Area,2456 sqft
489,"3 BHK Independent House for Sale in Vadamadurai, Coimbatore",2450 sqft,₹99 Lac ,Carpet Area,2450 sqft
490,"2 BHK Independent House for Sale in Veerapandi Pirivu, Coimbatore",1000 sqft,₹90 Lac ,Carpet Area,1000 sqft
491,"6 BHK Independent House for Sale in Vilankurichi, Coimbatore",12000 sqft,₹3.50 Cr ,Carpet Area,12000 sqft
492,"3 BHK Independent House for Sale in Pannimadai, Coimbatore",1700 sqft,₹55 Lac ,Super Area,1700 sqft
493,"2 BHK Independent House for Sale in Sowripalayam, Coimbatore",4 cent,₹80 Lac ,Super Area,4 cent
494,"2 BHK Independent House for Sale in Sarvana Nagar, Coimbatore",1000 sqft,₹50 Lac ,Super Area,1000 sqft
495,"3 BHK Independent House for Sale in Cheran ma Nagar, Coimbatore",3760 sqft,₹1.50 Cr ,Carpet Area,3760 sqft
496,"8 BHK Independent House for Sale in Peelamedu, Coimbatore",4000 sqft,₹2 Cr ,Super Area,4000 sqft
497,1 BHK Independent House for Sale in Coimbatore,1300 sqft,₹65 Lac ,Super Area,1300 sqft
498,"4 BHK Independent House for Sale in Thudiyalur, Coimbatore",1800 sqft,₹90 Lac ,Carpet Area,1800 sqft
499,3 BHK Independent House for Sale in Coimbatore,1108 sqft,₹1.40 Cr ,Super Area,1108 sqft
500,4 BHK Independent House for Sale in Coimbatore,1392 sqft,₹69 Lac ,Super Area,1392 sqft
501,"2 BHK Independent House for Sale in Sirumugai, Coimbatore",1850 sqft,₹55 Lac ,Super Area,1850 sqft
502,"1 BHK Independent House for Sale in Thondamuthur, Coimbatore",900 sqft,₹35 Lac ,Super Area,900 sqft
503,"2 BHK Independent House for Sale in Karamadai, Coimbatore",1200 sqft,₹42 Lac ,Super Area,1200 sqft
504,"4 BHK Independent House for Sale in Ramanathapuram, Coimbatore",2100 sqft,₹1.90 Cr ,Carpet Area,2100 sqft
505,"2 BHK Independent House for Sale in Veerakeralam, Coimbatore",1500 sqft,₹70 Lac ,Super Area,1500 sqft
506,"2 BHK Independent House for Sale in pollachi, Coimbatore",1387 sqft,₹48 Lac ,Super Area,1387 sqft
507,"2 BHK Independent House for Sale in Vinayagapuram, Coimbatore",870 sqft,₹48 Lac ,Carpet Area,870 sqft
508,"2 BHK Independent House for Sale in Ganapathi Maanagar, Coimbatore",1400 sqft,₹90 Lac ,Carpet Area,1400 sqft
509,"5 BHK Independent House for Sale in Singanallur, Coimbatore",2610 sqft,₹90 Lac ,Super Area,2610 sqft
510,"3 BHK Independent House for Sale in Avinashi Road, Coimbatore",1666 sqft,₹70 Lac ,Carpet Area,1666 sqft
511,"3 BHK Independent House for Sale in Kovai Pudur, Coimbatore",2600 sqft,₹98 Lac ,Carpet Area,2600 sqft
512,"7 BHK Independent House for Sale in Saibaba Colony, Coimbatore",3800 sqft,₹3.50 Cr ,Super Area,3800 sqft
513,"3 BHK Independent House for Sale in Podunur, Coimbatore",2000 sqft,₹1.50 Cr ,Carpet Area,2000 sqft
514,"2 BHK Independent House for Sale in Keeranatham, Coimbatore",1140 sqft,₹47 Lac ,Carpet Area,1140 sqft
515,"3 BHK Independent House for Sale in Balaji Gardens, Coimbatore",1200 sqft,₹67 Lac ,Carpet Area,1200 sqft
516,"1 BHK Independent House for Sale in Argus nagar, Coimbatore",624 sqft,₹76 Lac ,Carpet Area,624 sqft
517,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",999 sqft,₹90 Lac ,Carpet Area,999 sqft
518,"2 BHK Independent House for Sale in Karayampalayam, Coimbatore",3726 sqft,₹1.60 Cr ,Carpet Area,3726 sqft
519,"3 BHK Independent House for Sale in Masakali Palayam, Coimbatore",4356 sqft,₹3 Cr ,Super Area,4356 sqft
520,"3 BHK Independent House for Sale in VNR Nagar, Coimbatore",1500 sqft,₹72 Lac ,Carpet Area,1500 sqft
521,"2 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",1800 sqft,₹52 Lac ,Carpet Area,1800 sqft
522,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",3150 sqft,₹1.70 Cr ,Super Area,3150 sqft
523,2 BHK Independent House for Sale in Coimbatore,1600 sqft,₹38 Lac ,Carpet Area,1600 sqft
524,2 BHK Independent House for Sale in Coimbatore,2000 sqft,₹55 Lac ,Carpet Area,2000 sqft
525,"3 BHK Independent House for Sale in Ramalingam Nagar, Coimbatore",1300 sqft,₹2 Cr ,Carpet Area,1300 sqft
526,"3 BHK Independent House for Sale in Ganapathy, Coimbatore",1200 sqft,₹55 Lac ,Carpet Area,1200 sqft
527,"1 BHK Independent House for Sale in NGGO Colony, Coimbatore",6 cent,₹95 Lac ,Carpet Area,6 cent
528,"2 BHK Independent House for Sale in Karamadai, Coimbatore",900 sqft,₹45 Lac ,Super Area,900 sqft
529,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",2000 sqft,₹1.25 Cr ,Carpet Area,2000 sqft
530,"2 BHK Independent House for Sale in Thirumalayam Palayam, Coimbatore",750 sqft,₹24 Lac ,Carpet Area,750 sqft
531,"4 BHK Independent House for Sale in Saravanampatty, Coimbatore",2400 sqft,₹1.80 Cr ,Carpet Area,2400 sqft
532,"3 BHK Independent House for Sale in Neelambur, Coimbatore",2400 sqft,₹1.45 Cr ,Carpet Area,2400 sqft
533,"4 BHK Independent House for Sale in Saravanampatty, Coimbatore",3214 sqft,₹2.24 Cr ,Super Area,3214 sqft
534,"3 BHK Independent House for Sale in Kavundam Palayam, Coimbatore",2000 sqft,₹1.05 Cr ,Super Area,2000 sqft
535,"2 BHK Independent House for Sale in Shanthi Medu, Coimbatore",1060 sqft,₹40 Lac ,Super Area,1060 sqft
536,"2 BHK Independent House for Sale in Gandhi Park, Coimbatore",1500 sqft,₹1.65 Cr ,Carpet Area,1500 sqft
537,"2 BHK Independent House for Sale in Idigarai, Coimbatore",1300 sqft,₹49 Lac ,Carpet Area,1300 sqft
538,"1 BHK Independent House for Sale in Annur Metu Palayam, Coimbatore",500 sqft,₹12 Lac ,Super Area,500 sqft
539,"2 BHK Independent House for Sale in Velandi Palayam, Coimbatore",870 sqft,₹25 Lac ,Carpet Area,870 sqft
540,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",1600 sqft,₹85 Lac ,Super Area,1600 sqft
541,"3 BHK Independent House for Sale in Saibaba Colony, Coimbatore",2100 sqft,₹2.25 Cr ,Super Area,2100 sqft
542,"2 BHK Independent House for Sale in Sulur, Coimbatore",100 sqft,₹25.5 Lac ,Carpet Area,100 sqft
543,"6 BHK Independent House for Sale in Narayana Avenue Road, Coimbatore",2000 sqft,₹1.75 Cr ,Carpet Area,2000 sqft
544,"1 BHK Independent House for Sale in Kinathukadavu, Coimbatore",350 sqft,₹13.9 Lac ,Carpet Area,350 sqft
545,"2 BHK Independent House for Sale in Mettupalayam, Coimbatore",1300 sqft,₹30 Lac ,Carpet Area,1300 sqft
546,"2 BHK Independent House for Sale in Ganapathy, Coimbatore",1100 sqft,₹85 Lac ,Carpet Area,1100 sqft
547,2 BHK Independent House for Sale in Coimbatore,1200 sqft,₹25 Lac ,Super Area,1200 sqft
548,"2 BHK Independent House for Sale in Vellalore, Coimbatore",26 cent,₹36 Lac ,Carpet Area,26 cent
549,"3 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",1740 sqft,₹39 Lac ,Super Area,1740 sqft
550,"2 BHK Independent House for Sale in Sulur, Coimbatore",1250 sqft,₹68 Lac ,Super Area,1250 sqft
551,"3 BHK Independent House for Sale in Thoppampatti Pirivu, Coimbatore",1500 cent,₹75 Lac ,Carpet Area,1500 cent
552,"2 BHK Independent House for Sale in Koundampalayam, Coimbatore",1300 sqft,₹75 Lac ,Super Area,1300 sqft
553,"2 BHK Independent House for Sale in Cheran ma Nagar, Coimbatore",2400 sqft,₹90 Lac ,Super Area,2400 sqft
554,"6 BHK Independent House for Sale in Podunur, Coimbatore",2528 sqft,₹1.80 Cr ,Super Area,2528 sqft
555,"2 BHK Independent House for Sale in Pattanam, Coimbatore",600 sqft,₹27.5 Lac ,Carpet Area,600 sqft
556,"2 BHK Independent House for Sale in Vaiyampalayam, Coimbatore",1000 sqft,₹25 Lac ,Carpet Area,1000 sqft
557,"2 BHK Independent House for Sale in Neelambur, Coimbatore",1200 sqft,₹49 Lac ,Super Area,1200 sqft
558,"3 BHK Independent House for Sale in Ondipudur, Coimbatore",1800 sqft,₹50 Lac ,Super Area,1800 sqft
559,"4 BHK Independent House for Sale in Thirumurugan Nagar, Coimbatore",4200 sqft,₹1.80 Cr ,Carpet Area,4200 sqft
560,"2 BHK Independent House for Sale in Sungam, Coimbatore",2398 sqft,₹2.20 Cr ,Super Area,2398 sqft
561,"3 BHK Independent House for Sale in Vadamadurai, Coimbatore",1800 sqft,₹90 Lac ,Carpet Area,1800 sqft
562,"2 BHK Independent House for Sale in NGGO Colony, Coimbatore",1400 sqft,₹42 Lac ,Super Area,1400 sqft
563,"3 BHK Independent House for Sale in Narasimhanaicken Palayam, Coimbatore",1100 sqft,₹50 Lac ,Carpet Area,1100 sqft
564,"1 BHK Independent House for Sale in Pattanam Pudur, Coimbatore",450 sqft,₹39 Lac ,Carpet Area,450 sqft
565,"1 BHK Independent House for Sale in Karumathampatti, Coimbatore",800 sqft,₹32 Lac ,Super Area,800 sqft
566,"2 BHK Independent House for Sale in Ganapathy Nagar, Coimbatore",1852 sqft,₹72 Lac ,Super Area,1852 sqft
567,3 BHK Independent House for Sale in Coimbatore,1520 sqft,₹60 Lac ,Super Area,1520 sqft
568,"2 BHK Independent House for Sale in Saravanampatty, Coimbatore",1272 sqft,₹44 Lac ,Carpet Area,1272 sqft
569,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",200 sqft,₹82 Lac ,Carpet Area,200 sqft
570,"3 BHK Independent House for Sale in Edayarpalayam, Coimbatore",2400 sqft,₹2 Cr ,Super Area,2400 sqft
571,"2 BHK Independent House for Sale in pollachi, Coimbatore",1100 sqft,₹90 Lac ,Super Area,1100 sqft
572,"1 BHK Independent House for Sale in Avarampalayam, Coimbatore",1600 sqft,₹90 Lac ,Carpet Area,1600 sqft
573,"2 BHK Independent House for Sale in JJ Nagar, Coimbatore",1200 sqft,₹48 Lac ,Super Area,1200 sqft
574,"2 BHK Independent House for Sale in Podunur, Coimbatore",1200 sqft,₹42 Lac ,Super Area,1200 sqft
575,"> 10 BHK Independent House for Sale in Ganapathy, Coimbatore",6000 sqft,₹2.10 Cr ,Super Area,6000 sqft
576,"2 BHK Independent House for Sale in Othakal Mandapam, Coimbatore",800 sqft,₹20.9 Lac ,Carpet Area,800 sqft
577,"3 BHK Independent House for Sale in Ganapathy Nagar, Coimbatore",2400 sqft,₹65 Lac ,Super Area,2400 sqft
578,"2 BHK Independent House for Sale in Karamadai, Coimbatore",200 sqft,₹39 Lac ,Carpet Area,200 sqft
579,"2 BHK Independent House for Sale in Palakkad Main Road, Coimbatore",1200 sqft,₹80 Lac ,Super Area,1200 sqft
580,"1 BHK Independent House for Sale in pollachi, Coimbatore",432 sqft,₹10 Lac ,Super Area,432 sqft
581,"6 BHK Independent House for Sale in Saibaba Colony, Coimbatore",7000 sqft,₹4 Cr ,Super Area,7000 sqft
582,"2 BHK Independent House for Sale in Sulur, Coimbatore",2400 sqft,₹70 Lac ,Super Area,2400 sqft
583,"3 BHK Independent House for Sale in Gandhipuram, Coimbatore",2175 sqft,₹95 Lac ,Super Area,2175 sqft
584,"1 BHK Independent House for Sale in Gandhimaa Nagar, Coimbatore",350 sqft,₹53 Lac ,Carpet Area,350 sqft
585,"2 BHK Independent House for Sale in Kanuvai, Coimbatore",700 sqft,₹31 Lac ,Super Area,700 sqft
586,"2 BHK Independent House for Sale in Madukkarai, Coimbatore",1100 sqft,₹50 Lac ,Super Area,1100 sqft
587,"4 BHK Independent House for Sale in PN Pudur, Coimbatore",2200 sqft,₹100 Lac ,Super Area,2200 sqft
588,"3 BHK Independent House for Sale in Kinathukadavu, Coimbatore",1500 sqft,₹70 Lac ,Carpet Area,1500 sqft
589,"7 BHK Independent House for Sale in Ram Nagar, Coimbatore",2500 sqft,₹2.20 Cr ,Carpet Area,2500 sqft
590,1 BHK Independent House for Sale in Coimbatore,450 sqft,₹9.9 Lac ,Super Area,450 sqft
591,"3 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",1700 sqft,₹60 Lac ,Carpet Area,1700 sqft
592,"4 BHK Independent House for Sale in Saibaba Colony, Coimbatore",2000 sqft,₹2 Cr ,Carpet Area,2000 sqft
593,"1 BHK Independent House for Sale in Sulur, Coimbatore",1200 sqft,₹32 Lac ,Carpet Area,1200 sqft
594,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",1850 sqft,₹85 Lac ,Super Area,1850 sqft
595,"3 BHK Independent House for Sale in Kuniyamuthur, Coimbatore",1500 sqft,₹53 Lac ,Super Area,1500 sqft
596,"2 BHK Independent House for Sale in Othakal Mandapam, Coimbatore",1980 sqft,₹40 Lac ,Super Area,1980 sqft
597,"2 BHK Independent House for Sale in Vellanaipatti, Coimbatore",1100 sqft,₹52 Lac ,Super Area,1100 sqft
598,"3 BHK Independent House for Sale in K K Pudur, Coimbatore",1100 sqft,₹80 Lac ,Super Area,1100 sqft
599,"2 BHK Independent House for Sale in Peelamedu, Coimbatore",360 sqft,₹20 Lac ,Super Area,360 sqft
